title,tags,vote_average,popularity
Shooter,action drama mystery thriller crime corruption sniper senator conspiracy of murder childlessness mark wahlberg michael pe u00f1a danny glover kate mara elias koteas antoine fuqua a marksman living in exile is coaxed back into action after learning of a plot to kill the president ultimately double crossed and framed for the attempt he goes on the run to track the real killer and find out who exactly set him up and why,6.9,37.378081
The Boxtrolls,animation comedy family fantasy based on novel stop motion father daughter relationship unlikely friendship duringcreditsstinger ben kingsley isaac hempstead wright elle fanning dee bradley baker toni collette anthony stacchi an orphaned boy raised by underground creatures called boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator archibald snatcher,6.6,30.656345
Practical Magic,drama fantasy comedy witch magic sorcery love curse sandra bullock nicole kidman evan rachel wood goran visnjic stockard channing griffin dunne sally and gillian owens born into a magical family have mostly avoided witchcraft themselves but when gillian s vicious boyfriend jimmy angelov dies unexpectedly the owens sisters give themselves a crash course in hard magic with policeman gary hallet growing suspicious the girls struggle to resurrect angelov and unwittingly inject his corpse with an evil spirit that threatens to end their family line,6.3,15.142701
The Lego Movie,adventure animation comedy family fantasy father son relationship creativity friendship part live action toys chris pratt will ferrell elizabeth banks will arnett nick offerman phil lord an ordinary lego mini figure mistakenly thought to be the extraordinary masterbuilder is recruited to join a quest to stop an evil lego tyrant from gluing the universe together,7.5,59.54792800000001
Miss Congeniality 2: Armed and Fabulous,action comedy ransom press conference ship miss america fbi agent sandra bullock regina king enrique murciano william shatner eileen brennan john pasquin after her triumph at the miss united states pageant fbi agent gracie hart becomes an overnight sensation and the new face of the fbi but it s time to spring into action again when the pageant s winner cheryl and emcee stan are abducted,5.3,19.998581
Reign of Fire,adventure action fantasy dragon evolution fire chief animated map theatre audience christian bale matthew mcconaughey izabella scorupco gerard butler alexander siddig rob bowman in post apocalyptic england an american volunteer and a british survivor team up to fight off a brood of fire breathing dragons seeking to return to global dominance after centuries of rest underground the brit leading a clan of survivors to hunt down the king of the dragons has much at stake his mother was killed by a dragon but his love is still alive,6.0,27.61510800000001
Gangster Squad,crime drama action thriller los angeles gangster josh brolin ryan gosling nick nolte emma stone sean penn ruben fleischer los angeles 1949 ruthless brooklyn born mob king mickey cohen runs the show in this town reaping the ill gotten gains from the drugs the guns the prostitutes and if he has his way every wire bet placed west of chicago and he does it all with the protection of not only his own paid goons but also the police and the politicians who are under his control it s enough to intimidate even the bravest street hardened cop except perhaps for the small secret crew of lapd outsiders led by sgt john o mara and jerry wooters who come together to try to tear cohen s world apart,6.2,29.041198
Year One,comedy adventure temple slavery stone age circumcision hebrews jack black michael cera olivia wilde oliver platt david cross harold ramis when a couple of lazy hunter gatherers are banished from their primitive village they set off on an epic journey through the ancient world,4.6,25.293538
Invictus,drama history stadium south africa apartheid nelson mandela sport morgan freeman matt damon tony kgoroge patrick mofokeng matt stern clint eastwood newly elected president nelson mandela knows his nation remains racially and economically divided in the wake of apartheid believing he can bring his people together through the universal language of sport mandela rallies south africa s rugby team as they make their historic run to the 1995 rugby world cup championship match,7.0,23.85119
State of Play,action corruption assassination detective journalist assassin russell crowe ben affleck rachel mcadams robin wright jason bateman kevin macdonald handsome unflappable u s congressman stephen collins is the future of his political party an honorable appointee who serves as the chairman of a committee overseeing defense spending all eyes are upon the rising star to be his party s contender for the upcoming presidential race until his research assistant mistress is brutally murdered and buried secrets come tumbling out,6.7,21.685719
Duplicity,romance comedy crime spy clive owen julia roberts paul giamatti tom wilkinson lisa roberts gillan tony gilroy two romantically engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together,5.7,13.630049
My Favorite Martian,comedy drama family science fiction alien martian based on tv series fish out of water jeff daniels elizabeth hurley daryl hannah christopher lloyd wallace shawn donald petrie news producer tim o hara gets himself fired for unwillingly compromising his bosses daughter during a live transmission a little later he witnesses the crashing of a small martian spacecraft realizing his one time chance of delivering a story that will rock the earth since tim took the original but scaled down spaceship with him the martian follows him to retrieve it,5.1,6.80692
The Sentinel,action thriller crime usa president agent michael douglas kiefer sutherland eva longoria martin donovan kim basinger clark johnson a secret service agent is framed as the mole in an assassination attempt on the president he must clear his name and foil another assassination attempt while on the run from a relentless fbi agent,5.8,15.352807
Planet 51,science fiction animation family comedy adventure flying saucer alien life form spaceship alien alien planet dwayne johnson seann william scott jessica biel justin long gary oldman jorge blanco when earth astronaut capt chuck baker arrives on planet 51 a world reminiscent of american suburbia circa 1950 he tries to avoid capture recover his spaceship and make it home safely all with the help of an empathetic little green being,5.6,23.661071
Star Trek: Nemesis,science fiction action adventure thriller clone assassination ambush federation starfleet patrick stewart jonathan frakes brent spiner levar burton michael dorn stuart baird en route to the honeymoon of william riker to deanna troi on her home planet of betazed captain jean luc picard and the crew of the u s s enterprise receives word from starfleet that a coup has resulted in the installation of a new romulan political leader shinzon who claims to seek peace with the human backed united federation of planets once in enemy territory the captain and his crew make a startling discovery shinzon is human a slave from the romulan sister planet of remus and has a secret shocking relationship to picard himself,6.1,21.605533
Intolerable Cruelty,crime comedy romance california assassin infidelity fetish hitman george clooney catherine zeta jones edward herrmann geoffrey rush richard jenkins joel coen a revenge seeking gold digger marries a womanizing beverly hills lawyer with the intention of making a killing in the divorce,5.8,22.620125
Trouble with the Curve,drama romance women baseball pitcher home run aging clint eastwood amy adams justin timberlake john goodman matthew lillard robert lorenz slowed by age and failing eyesight crack baseball scout gus lobel takes his grown daughter along as he checks out the final prospect of his career along the way the two renew their bond and she catches the eye of a young player turned scout,6.6,18.587114
Edge of Darkness,crime drama mystery thriller murder violence death of daughter homicide detective mel gibson ray winstone danny huston shawn roberts denis o hare martin campbell as a seasoned homicide detective thomas craven has seen the bleakest side of humanity but nothing prepares him for the toughest investigation of his life the search for his only daughter emma s killer now he is on a personal mission to uncover the disturbing secrets surrounding her murder including corporate corruption government collusion and emma s own mysterious life,6.2,24.657931
The Relic,horror mystery thriller chicago based on novel monster museum pile of dead bodies penelope ann miller tom sizemore linda hunt james whitmore clayton rohner peter hyams a researcher at chicago s natural history museum returns from south america with some crates containing his findings when the crates arrive at the museum without the owner there appears to be very little inside however police discover gruesome murders on the cargo ship that brought the crates to the us and then another murder in the museum itself,5.8,12.621769
Analyze That,comedy crime prison gold therapist gangster robert de niro billy crystal lisa kudrow joe viterelli cathy moriarty harold ramis the mafia s paul vitti is back in prison and will need some serious counseling when he gets out naturally he returns to his analyst dr ben sobel for help and finds that sobel needs some serious help himself as he has inherited the family practice as well as an excess stock of stress,5.7,21.08952
Righteous Kill,action crime drama thriller revenge murder plot twist dirty cop robert de niro carla gugino 50 cent al pacino donnie wahlberg jon avnet two veteran new york city detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago is there a serial killer on the loose and did they perhaps put the wrong person behind bars,5.9,18.380176
Mercury Rising,action crime drama thriller assassin loss of family autism fbi bangkok bruce willis alec baldwin miko hughes chi mcbride kim dickens harold becker renegade fbi agent art jeffries protects a nine year old autistic boy who has cracked the government s new unbreakable code,6.0,18.87779500000001
The Soloist,drama newspaper cello musical violin los angeles robert downey jr jamie foxx catherine keener nelsan ellis michael bunin joe wright a los angeles journalist befriends a homeless juilliard trained musician while looking for a new article for the paper,6.6,17.299332999999994
The Legend of Bagger Vance,fantasy drama competition world war i great depression caddy savannah matt damon bruce mcgill charlize theron will smith joel gretsch robert redford world war i has left golfer rannulph junuh a poker playing alcoholic his perfect swing gone now however he needs to get it back to play in a tournament to save the financially ravaged golf course of a long ago sweetheart help arrives in the form of mysterious caddy bagger vance,6.3,16.848899
Almost Famous,drama music hotel room san diego drug addiction stewardess overdose kate hudson billy crudup frances mcdormand jason lee patrick fugit cameron crowe almost famous is an autobiographical inspired film about a 15 year old who is hired by rolling stone magazine to follow and interview a rock band during their tour a film about growing up first love disappointment and the life of a rock star,7.4,21.547446
Garfield: A Tail of Two Kitties,animation comedy family london england cat mistake in person luxury wretch bill murray jennifer love hewitt billy connolly ian abercrombie breckin meyer tim hill garfield is back and this time garfield and his canine sidekick odie follows their owner jon arbuckle to england the u k may never recover as garfield is mistaken for a look alike regal cat who has inherited a castle,5.1,16.930969
xXx: State of the Union,action adventure crime drama mystery washington d c helicopter usa president general coup d etat ice cube samuel l jackson willem dafoe scott speedman peter strauss lee tamahori ice cube stars as darius stone a thrill seeking troublemaker whose criminal record and extreme sports obsession make him the perfect candidate to be the newest xxx agent he must save the u s government from a deadly conspiracy led by five star general and secretary of defense george deckert played by willem dafoe,4.7,36.689223
Priest,action science fiction fantasy thriller horror vampire crucifixion post apocalyptic dystopia vampire hunter paul bettany karl urban cam gigandet maggie q lily collins scott stewart in an alternate world humanity and vampires have warred for centuries after the last vampire war the veteran warrior priest lives in obscurity with other humans inside one of the church s walled cities when the priest s niece is kidnapped by vampires the priest breaks his vows to hunt them down he is accompanied by the niece s boyfriend who is a wasteland sheriff and a former warrior priestess,5.4,28.350927
Sinbad: Legend of the Seven Seas,family animation adventure prince water monster brad pitt catherine zeta jones michelle pfeiffer joseph fiennes dennis haysbert tim johnson the sailor of legend is framed by the goddess eris for the theft of the book of peace and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend prince proteus,6.6,18.815442
Event Horizon,horror science fiction mystery space marine nudity nightmare hallucination cryogenics laurence fishburne sam neill kathleen quinlan joely richardson richard t jones paul w s anderson in the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship event horizon the ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the lewis and clark discover the real truth behind its disappearance and something even more terrifying,6.5,29.787135
Dragonfly,drama pregnancy and birth voice dragonfly car crash jungle kevin costner joe morton ron rifkin susanna thompson kathy bates tom shadyac a grieving doctor is being contacted by his late wife through his patients near death experiences,6.1,8.927137
The Black Dahlia,drama pornography observer los angeles murder hunt josh hartnett scarlett johansson aaron eckhart hilary swank mia kirshner brian de palma lee blanchard and bucky bleichert are former boxers turned cops in 1940s los angeles and when an aspiring young actress turns up dead blanchard and bleichert must grapple with corruption narcissism stag films and family madness as they pursue the killer,5.7,15.213484
Flyboys,action adventure drama history romance world war i biplane james franco david ellison jean reno philip winchester abdul salis tony bill the adventures of the lafayette escadrille young americans who volunteered for the french military before the u s entered world war i and became the country s first fighter pilots,6.3,13.155999
The Last Castle,action drama thriller prison general robert redford james gandolfini mark ruffalo steve burton delroy lindo rod lurie a court martialed general rallies together 1200 inmates to rise against the system that put him away,7.0,15.433244
Supernova,horror science fiction thriller black people starships future star supernova james spader angela bassett robert forster lou diamond phillips peter facinelli walter hill set in the 22nd century when a battered salvage ship sends out a distress signal the seasoned crew of the rescue hospital ship nova 17 responds what they find is a black hole that threatens to destroy both ships and a mysterious survivor whose body quickly mutates into a monstrous and deadly form,4.9,5.762037
Winter's Tale,drama fantasy mystery romance based on novel colin farrell jessica brown findlay russell crowe william hurt jennifer connelly akiva goldsman a burglar falls for an heiress as she dies in his arms when he learns that he has the gift of reincarnation he sets out to save her,6.0,22.736038
The Mortal Instruments: City of Bones,action adventure drama mystery romance angel vampire werewolf warlock downworlder lily collins jamie campbell bower kevin zegers jemima west robert sheehan harald zwart in new york city clary fray a seemingly ordinary teenager learns that she is descended from a line of shadowhunters half angel warriors who protect humanity from evil forces after her mother disappears clary joins forces with a group of shadowhunters and enters downworld an alternate realm filled with demons vampires and a host of other creatures clary and her companions must find and protect an ancient cup that holds the key to her mother s future,6.2,45.514031
Meet Dave,comedy science fiction adventure family new york captain starships new love earth eddie murphy elizabeth banks gabrielle union scott caan ed helms brian robbins a crew of miniature aliens operate a spaceship that has a human form while trying to save their planet the aliens encounter a new problem as their ship becomes smitten with an earth woman,5.0,18.676291
Dark Water,drama horror thriller based on novel water remake teacher divorce jennifer connelly john c reilly tim roth dougray scott pete postlethwaite walter salles dahlia williams and her daughter cecelia move into a rundown apartment on new york s roosevelt island she is currently in midst of divorce proceedings and the apartment though near an excellent school for her daughter is all she can afford from the time she arrives there are mysterious occurrences and there is a constant drip from the ceiling in her daughter s bedroom,5.3,14.376463
Edtv,comedy tv show tv station simulated reality reality tv tv star matthew mcconaughey woody harrelson sally kirkland jenna elfman martin landau ron howard video store clerk ed agrees to have his life filmed by a camera crew for a tv network,5.7,14.298297
Inkheart,adventure family fantasy book fairy tale eavesdropping adventure writer s block brendan fraser sienna guillory andy serkis eliza bennett paul bettany iain softley the adventures of a father and his young daughter in their search for a long lost book that will help reunite a missing close relative,6.0,27.018886
The Spirit,action comedy thriller crime science fiction secret identity robber mask frog based on comic strip gabriel macht scarlett johansson samuel l jackson eva mendes paz vega frank miller down these mean streets a man must come a hero born murdered and born again when a rookie cop named denny colt returns from the beyond as the spirit a hero whose mission is to fight against the bad forces from the shadows of central city the octopus who kills anyone unfortunate enough to see his face who has other plans he s going to wipe out the entire city,4.7,14.84856
Mortdecai,comedy adventure based on novel painting debt art dealer stolen painting johnny depp gwyneth paltrow ewan mcgregor paul bettany olivia munn david koepp art dealer charles mortdecai searches for a stolen painting rumored to contain a secret code that gains access to hidden nazi gold,5.4,52.417528999999995
In the Name of the King: A Dungeon Siege Tale,adventure fantasy action drama fictional place monster loss of family new love hero jason statham john rhys davies ray liotta leelee sobieski burt reynolds uwe boll a man named farmer sets out to rescue his kidnapped wife and avenge the death of his son two acts committed by the krugs a race of animal warriors who are controlled by the evil gallian,4.1,15.406173
Beyond Borders,drama romance adventure war london england cia landmine love of one s life cambodia angelina jolie clive owen teri polo linus roache noah emmerich martin campbell beyond borders is an epic tale of the turbulent romance between two star crossed lovers set against the backdrop of the world s most dangerous hot spots academy award winner angelina jolie stars as sarah jordan an american living in london in 1984 she is married to henry bauford son of a wealthy british industrialist when she encounters nick callahan a renegade doctor whose impassioned plea for help to support his relief efforts in war torn africa moves her deeply as a result sarah embarks upon a journey of discovery that leads to danger heartbreak and romance in the far corners of the world,6.7,6.523472
The Monkey King 2,action adventure fantasy monkey king aaron kwok gong li william feng xiao shen yang him law soi cheang taking place 500 years after the havoc in heaven the tang priest is appointed by buddha to go to the west to fetch the sacred scriptures only to accidentally free the monkey king with lady white gong li aiming to break up the team assembled to defeat her the monkey king must fight in order to save his world,6.0,4.7262900000000005
The Great Raid,action history war based on novel world war ii prisoners of war narration archive footage benjamin bratt james franco connie nielsen marton csokas joseph fiennes john dahl as world war ii rages the elite sixth ranger battalion is given a mission of heroic proportions push 30 miles behind enemy lines and liberate over 500 american prisoners of war,6.8,8.923214999999997
Deadpool,action adventure comedy anti hero mercenary marvel comic superhero based on comic book ryan reynolds morena baccarin ed skrein t j miller gina carano tim miller deadpool tells the origin story of former special forces operative turned mercenary wade wilson who after being subjected to a rogue experiment that leaves him with accelerated healing powers adopts the alter ego deadpool armed with his new abilities and a dark twisted sense of humor deadpool hunts down the man who nearly destroyed his life,7.4,514.5699559999998
Holy Man,drama comedy salesclerk television tv ratings guru television producer eddie murphy jeff goldblum kelly preston robert loggia jon cryer stephen herek eddie murphy stars as an over the top television evangelist who finds a way to turn television home shopping into a religious experience and takes america by storm,4.9,9.265672
American Sniper,war action sniper biography iraq navy seal u s soldier bradley cooper sienna miller kyle gallner cole konis ben reed clint eastwood u s navy seal chris kyle takes his sole mission protect his comrades to heart and becomes one of the most lethal snipers in american history his pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents despite grave danger and his struggle to be a good husband and father to his family back in the states kyle serves four tours of duty in iraq however when he finally returns home he finds that he cannot leave the war behind,7.4,87.53437
Goosebumps,adventure horror comedy based on novel magic fantasy werewolf family jack black dylan minnette odeya rush amy ryan jillian bell rob letterman a teenager teams up with the daughter of young adult horror author r l stine after the writer s imaginary demons are set free on the town of madison delaware,6.2,45.351617
Just Like Heaven,comedy fantasy romance coma based on novel workaholic flirt architect reese witherspoon mark ruffalo donal logue dina spybey waters ben shenkman mark waters shortly after david abbott moves into his new san francisco digs he has an unwelcome visitor on his hands winsome elizabeth martinson who asserts that the apartment is hers and promptly vanishes when she starts appearing and disappearing at will david thinks she s a ghost while elizabeth is convinced she s alive,6.5,13.43573
The Flintstones in Viva Rock Vegas,science fiction comedy family romance waitress marriage proposal flirt stone age best friend mark addy stephen baldwin kristen johnston jane krakowski joan collins brian levant the flintstones are at it again the flintstones and the rubbles head for rock vegas with fred hoping to court the lovely wilma nothing will stand in the way of love except for the conniving chip rockefeller who is the playboy born in baysville but who has made it in the cutthroat town of rock vegas will fred win wilma s love,4.4,6.248309
Rambo III,action adventure thriller war competition submachine gun soviet union liberation russian sylvester stallone richard crenna kurtwood smith spiros foc u00e1s sasson gabai peter macdonald combat has taken its toll on rambo but he s finally begun to find inner peace in a monastery when rambo s friend and mentor col trautman asks for his help on a top secret mission to afghanistan rambo declines but must reconsider when trautman is captured,5.7,31.294717
Leatherheads,comedy romance drama american football sports team stadium hero success george clooney ren u00e9e zellweger john krasinski wayne duvall stephen root george clooney a light hearted comedy about the beginnings of professional american football when a decorated war hero and college all star is tempted into playing professional football everyone see the chance to make some big money but when a reporter digs up some dirt on the war hero everyone could lose out,5.7,7.7392759999999985
The Ridiculous 6,comedy western wild west adam sandler taylor lautner steve buscemi terry crews danny trejo frank coraci when his long lost outlaw father returns tommy white knife stockburn goes on an adventure filled journey across the old west with his five brothers,4.9,19.694695
Did You Hear About the Morgans?,comedy witness protection comedy duringcreditsstinger hugh grant sarah jessica parker mary steenburgen sam elliott natalia klimas marc lawrence in new york city an estranged couple who witness a murder are relocated to small town wyoming as part of a witness protection program,5.1,14.403696
The Internship,comedy job interview loss of job intern reference to google new job owen wilson vince vaughn rose byrne max minghella aasif mandvi shawn levy two recently laid off men in their 40s try to make it as interns at a successful internet company where their managers are in their 20s,6.1,1.551497
Resident Evil: Afterlife,action adventure horror science fiction post apocalyptic dystopia undead biohazard evil corporation milla jovovich wentworth miller ali larter kim coates kacey clarke paul w s anderson in a world ravaged by a virus infection turning its victims into the undead alice continues on her journey to find survivors and lead them to safety her deadly battle with the umbrella corporation reaches new heights but alice gets some unexpected help from an old friend a new lead that promises a safe haven from the undead takes them to los angeles but when they arrive the city is overrun by thousands of undead and alice and her comrades are about to step into a deadly trap,5.8,2.143764
Red Tails,drama action adventure history war world war ii fighter pilot fighter plane bryan cranston david oyelowo cuba gooding jr daniela ruah terrence howard anthony hemingway the story of the tuskegee airmen the first african american pilots to fly in a combat squadron during world war ii,5.9,12.29603
The Devil's Advocate,drama horror mystery thriller child abuse southern usa obsession subway nudity keanu reeves al pacino charlize theron jeffrey jones judith ivey taylor hackford a hotshot lawyer gets more than he bargained for when he learns his new boss is lucifer himself,7.2,33.8473
That's My Boy,comedy deadbeat dad cheating fianc u00e9e teacher student sex brother sister incest adam sandler susan sarandon eva amurri martino leighton meester andy samberg sean anders while in his teens donny fathered a son todd and raised him as a single parent up until todd s 18th birthday now after not seeing each other for years todd s world comes crashing down when donny resurfaces just before todd s wedding,5.5,21.723897
DragonHeart,fantasy magic kingdom despot immortality village dennis quaid david thewlis pete postlethwaite dina meyer julie christie rob cohen in an ancient time when majestic fire breathers soared through the skies a knight named bowen comes face to face and heart to heart with the last dragon on earth draco taking up arms to suppress a tyrant king bowen soon realizes his task will be harder than he d imagined if he kills the king draco will die as well,6.4,31.791979
After the Sunset,action comedy crime drama bahamas master thief crook couple pierce brosnan salma hayek woody harrelson troy garity russell hornsby brett ratner two master thieves brosnan and hayek are finally retiring after one last succesful mission residing in their own tropical paradise their old nemesis fbi agent stan p lloyd shows up to make sure they really are retired docked in the port is an ocean liner called the diamond cruise and stan is convinced that they re not really retired at all and that this is the next set up,6.0,14.113066
Ghost Rider: Spirit of Vengeance,action fantasy thriller monk eastern europe skeleton biker marvel comic nicolas cage ciar u00e1n hinds violante placido fergus riordan johnny whitworth brian taylor when the devil resurfaces with aims to take over the world in human form johnny blaze reluctantly comes out of hiding to transform into the flame spewing supernatural hero ghost rider and rescue a 10 year old boy from an unsavory end,4.7,48.622278
Captain Corelli's Mandolin,drama history romance officer greek island mandolin italian soldier resistance fighter nicolas cage pen u00e9lope cruz john hurt christian bale irene papas john madden when a greek fisherman leaves to fight with the greek army during wwii his fiancee falls in love with the local italian commander the film is based on a novel about an italian soldier s experiences during the italian occupation of the greek island of cephalonia kefalonia but hollywood made it into a pure love story by removing much of the unpleasant stuff,5.5,9.061866
The Pacifier,action comedy drama family thriller bodybuilder children body guard scientist family vin diesel lauren graham faith ford chris potter brittany snow adam shankman disgraced navy seal shane wolfe is handed a new assignment protect the five plummer kids from enemies of their recently deceased father a government scientist whose top secret experiment remains hidden in the kids house,5.8,35.4763
Walking Tall,adventure drama action thriller casino sheriff home violence special forces dwayne johnson johnny knoxville neal mcdonough kristen wilson cobie smulders kevin bray a former u s soldier returns to his hometown to find it overrun by crime and corruption which prompts him to clean house,6.0,23.438398
Forrest Gump,comedy drama romance vietnam veteran hippie mentally disabled running based on novel tom hanks robin wright gary sinise mykelti williamson sally field robert zemeckis a man with a low iq has accomplished great things in his life and been present during significant historic events in each case far exceeding what anyone imagined he could do yet despite all the things he has attained his one true love eludes him forrest gump is the story of a man who rose above his challenges and who proved that determination courage and love are more important than ability,8.2,138.133331
Alvin and the Chipmunks,comedy music family fantasy animation pop pop star record producer surprise approach jason lee david cross cameron richardson jane lynch justin long tim hill a struggling songwriter named dave seville finds success when he comes across a trio of singing chipmunks mischievous leader alvin brainy simon and chubby impressionable theodore,5.5,47.33603400000001
Meet the Parents,comedy romance cia airport cat jew orderly ben stiller robert de niro teri polo blythe danner owen wilson jay roach greg focker is ready to marry his girlfriend pam but before he pops the question he must win over her formidable father humorless former cia agent jack byrnes at the wedding of pam s sister as greg bends over backward to make a good impression his visit to the byrnes home turns into a hilarious series of disasters and everything that can go wrong does all under jack s critical hawklike gaze,6.6,29.97224000000001
Pocahontas,adventure animation drama family culture clash settler forbidden love colony musical irene bedard mel gibson david ogden stiers john kassir russell means mike gabriel history comes gloriously to life in disney s epic animated tale about love and adventure in the new world pocahontas is a native american woman whose father has arranged for her to marry her village s best warrior but a vision tells her change is coming and soon she comes face to face with it in the form of capt john smith,6.7,47.845589
Superman,action adventure fantasy science fiction saving the world journalist dc comics crime fighter nuclear missile christopher reeve marlon brando margot kidder gene hackman ned beatty richard donner mild mannered clark kent works as a reporter at the daily planet alongside his crush lois lane who s in love with superman clark must summon his superhero alter ego when the nefarious lex luthor launches a plan to take over the world,6.9,48.507081
The Nutty Professor,fantasy comedy romance science fiction overweight overweight man duringcreditsstinger eddie murphy jada pinkett smith james coburn larry miller dave chappelle tom shadyac eddie murphy stars as shy dr sherman klump a kind brilliant calorifically challenged genetic professor when beautiful carla purty joins the university faculty sherman grows desperate to whittle his 400 pound frame down to size and win her heart so with one swig of his experimental fat reducing serum sherman becomes buddy love a fast talking pumped up plumped down don juan,5.4,20.28119
Hitch,comedy drama romance speed date romantic comedy dating will smith eva mendes kevin james amber valletta julie ann emery andy tennant dating coach alex hitch hitchens mentors a bumbling client albert who hopes to win the heart of the glamorous allegra cole while albert makes progress hitch faces his own romantic setbacks when proven techniques fail to work on sara melas a tabloid reporter digging for dirt on allegra cole s love life when sara discovers hitch s connection to albert now allegra s boyfriend it threatens to destroy both relationships,6.4,34.576913
George of the Jungle,adventure comedy family romance africa san francisco gorilla lion feral child brendan fraser leslie mann thomas haden church john cleese richard roundtree sam weisman baby george got into a plane crash in a jungle stayed alive and was adopted by a wise ape ursula stanhope us noble woman is saved from death on safari by grown up george and he takes her to jungle to live with him he slowly learns a rules of human relationships while ursula s lover lyle is looking for her and the one who took her after they are found ursula takes george to the usa,5.4,22.573237
American Wedding,comedy romance handcuffs sister sister relationship spanner blow job stag night jason biggs alyson hannigan seann william scott eddie kaye thomas thomas ian nicholas jesse dylan with high school a distant memory jim and michelle are getting married and in a hurry since jim s grandmother is sick and wants to see him walk down the aisle prompting stifler to throw the ultimate bachelor party and jim s dad is reliable as ever doling out advice no one wants to hear,6.0,36.194802
Captain Phillips,action drama thriller ship hijacking somalia fisherman blood tom hanks catherine keener max martini chris mulkey yul vazquez paul greengrass the true story of captain richard phillips and the 2009 hijacking by somali pirates of the us flagged mv maersk alabama the first american cargo ship to be hijacked in two hundred years,7.6,52.786917
Date Night,comedy date corruption taxi expensive restaurant wife husband relationship tina fey steve carell mark wahlberg taraji p henson jimmi simpson shawn levy phil and claire foster fear that their mild mannered relationship may be falling into a stale rut during their weekly date night their dinner reservation leads to their being mistaken for a couple of thieves and now a number of unsavoury characters want phil and claire killed,5.9,38.06168
Casper,fantasy comedy family halloween friendship supernatural afterlife friends christina ricci bill pullman cathy moriarty eric idle joe nipote brad silberling furious that her late father only willed her his gloomy looking mansion rather than his millions carrigan crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house but when she enters the rickety mansion to seek her claim she is frightened away by a wicked wave of ghosts determined to get her hands on this hidden fortune she hires afterlife therapist dr james harvey to exorcise the ghosts from the mansion harvey and his daughter kat move in and soon kat meets casper the ghost of a young boy who s the friendliest ghost you know but not so friendly are casper s uncles stretch fatso and stinkie who are determined to drive all fleshies away,6.0,19.830132
The Equalizer,thriller action crime corruption assassin hostage fbi hitman denzel washington marton csokas chlo u00eb grace moretz david harbour haley bennett antoine fuqua in the equalizer denzel washington plays mccall a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new quiet life but when mccall meets teri chlo grace moretz a young girl under the control of ultra violent russian gangsters he can t stand idly by he has to help her armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless mccall comes out of his self imposed retirement and finds his desire for justice reawakened if someone has a problem if the odds are stacked against them if they have nowhere else to turn mccall will help he is the equalizer,7.1,79.92205899999998
Maid in Manhattan,comedy drama romance hotel politician mistaken identity maid class differences jennifer lopez ralph fiennes natasha richardson stanley tucci tyler posey wayne wang marisa ventura is a struggling single mom who works at a posh manhattan hotel and dreams of a better life for her and her young son one fateful day hotel guest and senatorial candidate christopher marshall meets marisa and mistakes her for a wealthy socialite after an enchanting evening together the two fall madly in love but when marisa s true identity is revealed issues of class and social status threaten to separate them can two people from very different worlds overcome their differences and live happily ever after,5.6,19.738215
Crimson Tide,action thriller drama submarine mutiny russia missile nuclear missile denzel washington gene hackman matt craven george dzundza viggo mortensen tony scott on a us nuclear missile sub a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so,7.0,20.334629
The Pursuit of Happyness,drama san francisco single parent homeless person bus worker will smith jaden smith thandie newton brian howe james karen gabriele muccino the true story of christopher gardner who invests heavily in a device known as a bone density scanner only to find himself struggle to sell the product as it s just marginally better than the current technology and much more expensive his wife leaves him he loses his house bank account and credit cards and now forced to live out in the streets with his young son he s desperate to find a steady job he takes on a job as a stockbroker but before he can receive pay he needs to go through 6 months of training and must sell his devices,7.7,80.581367
Flightplan,thriller drama mystery berlin loss of father airplane baby snatching jodie foster peter sarsgaard sean bean kate beahan michael irby robert schwentke a claustrophobic hitchcockian thriller a bereaved woman and her daughter are flying home from berlin to america at 30 000 feet the child vanishes and nobody admits she was ever on that plane,6.1,32.05145
Disclosure,drama thriller crime mystery romance employee workplace sexual harassment intrigue michael douglas demi moore donald sutherland dylan baker jacqueline kim barry levinson a computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully which threatens both his career and his personal life,5.9,15.064058
City of Angels,drama fantasy romance suicide angel life and death desperation operation nicolas cage meg ryan andre braugher dennis franz colm feore brad silberling when guardian angel seth who invisibly watches over the citizens of los angeles becomes captivated by maggie a strong willed heart surgeon he ponders trading in his pure otherworldly existence for a mortal life with his beloved the couple embarks on a tender but forbidden romance spanning heaven and earth,6.4,21.272734
Kill Bill: Vol. 1,action crime japan coma martial arts kung fu underworld uma thurman lucy liu vivica a fox daryl hannah david carradine quentin tarantino an assassin is shot at the altar by her ruthless employer bill and other members of their assassination circle but the bride lives to plot her vengeance setting out for some payback she makes a death list and hunts down those who wronged her saving bill for last,7.7,79.75496600000002
